company_name,date,company_id,,,,,,,
パワーシェアリング,2016/5/30,120160530A062,,,,,,,
,,,,,,,,,
data_id,company_name,transaction_at,area,val1,val2,val3,val4,val5,val6
11605312709A00014,パワーシェアリング,2016/05/31 13:00-13:30,九州,8.04,2,8040,0.03,30,0.5
11605312802A00013,パワーシェアリング,2016/05/31 13:30-14:00,東北,20,1,10000,0.03,15,0.5
11605312803A00039,パワーシェアリング,2016/05/31 13:30-14:00,東京,20,6,60000,0.03,90,0.5
11605312804A00015,パワーシェアリング,2016/05/31 13:30-14:00,中部,8.04,1,4020,0.03,15,0.5
11605312806A00024,パワーシェアリング,2016/05/31 13:30-14:00,関西,8.04,6,24120,0.03,90,0.5
11605312809A00014,パワーシェアリング,2016/05/31 13:30-14:00,九州,8.04,2,8040,0.03,30,0.5
11605312902A00013,パワーシェアリング,2016/05/31 14:00-14:30,東北,20.32,1,10160,0.03,15,0.5
11605312903A00040,パワーシェアリング,2016/05/31 14:00-14:30,東京,20.32,6,60960,0.03,90,0.5
11605312904A00015,パワーシェアリング,2016/05/31 14:00-14:30,中部,8.04,1,4020,0.03,15,0.5
11605312906A00024,パワーシェアリング,2016/05/31 14:00-14:30,関西,8.04,6,24120,0.03,90,0.5
11605312909A00014,パワーシェアリング,2016/05/31 14:00-14:30,九州,8.04,2,8040,0.03,30,0.5
11605313002A00013,パワーシェアリング,2016/05/31 14:30-15:00,東北,20.32,1,10160,0.03,15,0.5
11605313003A00041,パワーシェアリング,2016/05/31 14:30-15:00,東京,20.32,6,60960,0.03,90,0.5
11605313004A00016,パワーシェアリング,2016/05/31 14:30-15:00,中部,8.85,1,4425,0.03,15,0.5
11605313006A00023,パワーシェアリング,2016/05/31 14:30-15:00,関西,8.85,6,26550,0.03,90,0.5
11605313009A00014,パワーシェアリング,2016/05/31 14:30-15:00,九州,8.85,2,8850,0.03,30,0.5
11605313102A00013,パワーシェアリング,2016/05/31 15:00-15:30,東北,20,1,10000,0.03,15,0.5
11605313103A00041,パワーシェアリング,2016/05/31 15:00-15:30,東京,20,6,60000,0.03,90,0.5
11605313106A00023,パワーシェアリング,2016/05/31 15:00-15:30,関西,8.89,6,26670,0.03,90,0.5
11605313109A00013,パワーシェアリング,2016/05/31 15:00-15:30,九州,8.89,2,8890,0.03,30,0.5
11605313202A00013,パワーシェアリング,2016/05/31 15:30-16:00,東北,20.02,1,10010,0.03,15,0.5
11605313203A00041,パワーシェアリング,2016/05/31 15:30-16:00,東京,20.02,6,60060,0.03,90,0.5
11605313204A00018,パワーシェアリング,2016/05/31 15:30-16:00,中部,10.68,1,5340,0.03,15,0.5
11605313206A00023,パワーシェアリング,2016/05/31 15:30-16:00,関西,10.68,6,32040,0.03,90,0.5
11605313209A00013,パワーシェアリング,2016/05/31 15:30-16:00,九州,10.68,2,10680,0.03,30,0.5
11605313302A00012,パワーシェアリング,2016/05/31 16:00-16:30,東北,23,1,11500,0.03,15,0.5
11605313303A00040,パワーシェアリング,2016/05/31 16:00-16:30,東京,23,6,69000,0.03,90,0.5
11605313304A00017,パワーシェアリング,2016/05/31 16:00-16:30,中部,12.67,1,6335,0.03,15,0.5
11605313306A00024,パワーシェアリング,2016/05/31 16:00-16:30,関西,12.67,5,31675,0.03,75,0.5
11605313309A00013,パワーシェアリング,2016/05/31 16:00-16:30,九州,12.67,2,12670,0.03,30,0.5
11605313402A00014,パワーシェアリング,2016/05/31 16:30-17:00,東北,20.32,1,10160,0.03,15,0.5
11605313403A00039,パワーシェアリング,2016/05/31 16:30-17:00,東京,20.32,6,60960,0.03,90,0.5
11605313404A00018,パワーシェアリング,2016/05/31 16:30-17:00,中部,12.67,1,6335,0.03,15,0.5
11605313406A00023,パワーシェアリング,2016/05/31 16:30-17:00,関西,12.67,5,31675,0.03,75,0.5
11605313409A00012,パワーシェアリング,2016/05/31 16:30-17:00,九州,12.67,2,12670,0.03,30,0.5
11605313502A00014,パワーシェアリング,2016/05/31 17:00-17:30,東北,20,1,10000,0.03,15,0.5
11605313503A00038,パワーシェアリング,2016/05/31 17:00-17:30,東京,20,5,50000,0.03,75,0.5
11605313504A00018,パワーシェアリング,2016/05/31 17:00-17:30,中部,12.67,1,6335,0.03,15,0.5
11605313506A00024,パワーシェアリング,2016/05/31 17:00-17:30,関西,12.67,5,31675,0.03,75,0.5
11605313509A00012,パワーシェアリング,2016/05/31 17:00-17:30,九州,12.67,2,12670,0.03,30,0.5
11605313601A00009,パワーシェアリング,2016/05/31 17:30-18:00,北海道,26,1,13000,0.03,15,0.5
11605313602A00012,パワーシェアリング,2016/05/31 17:30-18:00,東北,16.35,1,8175,0.03,15,0.5
11605313603A00037,パワーシェアリング,2016/05/31 17:30-18:00,東京,16.35,4,32700,0.03,60,0.5
11605313604A00018,パワーシェアリング,2016/05/31 17:30-18:00,中部,12.67,1,6335,0.03,15,0.5
11605313606A00024,パワーシェアリング,2016/05/31 17:30-18:00,関西,12.67,5,31675,0.03,75,0.5
11605313609A00012,パワーシェアリング,2016/05/31 17:30-18:00,九州,12.67,2,12670,0.03,30,0.5
11605313701A00009,パワーシェアリング,2016/05/31 18:00-18:30,北海道,26,2,26000,0.03,30,0.5
11605313702A00012,パワーシェアリング,2016/05/31 18:00-18:30,東北,12.07,1,6035,0.03,15,0.5
11605313703A00038,パワーシェアリング,2016/05/31 18:00-18:30,東京,12.07,4,24140,0.03,60,0.5
11605313704A00015,パワーシェアリング,2016/05/31 18:00-18:30,中部,12.07,1,6035,0.03,15,0.5
11605313706A00021,パワーシェアリング,2016/05/31 18:00-18:30,関西,12.07,4,24140,0.03,60,0.5
11605313709A00012,パワーシェアリング,2016/05/31 18:00-18:30,九州,12.07,2,12070,0.03,30,0.5
11605313801A00009,パワーシェアリング,2016/05/31 18:30-19:00,北海道,26,2,26000,0.03,30,0.5
11605313802A00012,パワーシェアリング,2016/05/31 18:30-19:00,東北,12.07,1,6035,0.03,15,0.5
11605313803A00039,パワーシェアリング,2016/05/31 18:30-19:00,東京,12.07,4,24140,0.03,60,0.5
11605313804A00015,パワーシェアリング,2016/05/31 18:30-19:00,中部,12.07,1,6035,0.03,15,0.5
11605313806A00021,パワーシェアリング,2016/05/31 18:30-19:00,関西,12.07,4,24140,0.03,60,0.5
11605313809A00012,パワーシェアリング,2016/05/31 18:30-19:00,九州,12.07,2,12070,0.03,30,0.5
11605313901A00009,パワーシェアリング,2016/05/31 19:00-19:30,北海道,26,3,39000,0.03,45,0.5
11605313902A00013,パワーシェアリング,2016/05/31 19:00-19:30,東北,11.49,1,5745,0.03,15,0.5
